time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-10 00:00:00+00:00,21,6,0,0
2026-06-11 00:00:00+00:00,2,2,0,0
2026-06-12 00:00:00+00:00,29,7,0,0
2026-06-13 00:00:00+00:00,29,8,0,0
2026-06-14 00:00:00+00:00,35,9,0,0
2026-06-15 00:00:00+00:00,27,8,0,0
2026-06-16 00:00:00+00:00,22,5,0,0
2026-06-17 00:00:00+00:00,7,3,0,0
2026-06-18 00:00:00+00:00,21,7,0,0
2026-06-19 00:00:00+00:00,25,7,0,0
2026-06-20 00:00:00+00:00,34,9,0,0
2026-06-21 00:00:00+00:00,48,10,0,0
2026-06-22 00:00:00+00:00,40,11,0,0
2026-06-23 00:00:00+00:00,47,12,0,0
