time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-06 00:00:00+00:00,7,3,0,0
2026-04-07 00:00:00+00:00,17,6,0,0
2026-04-08 00:00:00+00:00,18,6,0,0
2026-04-09 00:00:00+00:00,8,3,0,0
2026-04-10 00:00:00+00:00,43,12,0,0
2026-04-11 00:00:00+00:00,49,15,0,0
2026-04-12 00:00:00+00:00,3,3,0,0
2026-04-13 00:00:00+00:00,12,5,0,0
2026-04-14 00:00:00+00:00,13,4,0,0
2026-04-15 00:00:00+00:00,17,8,0,0
2026-04-16 00:00:00+00:00,47,11,0,0
2026-04-17 00:00:00+00:00,32,8,0,0
2026-04-18 00:00:00+00:00,5,5,0,0
2026-04-19 00:00:00+00:00,39,11,0,0
