time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-28 00:00:00+00:00,15,3,0,0
2026-04-29 00:00:00+00:00,27,7,0,0
2026-04-30 00:00:00+00:00,30,9,0,0
2026-05-01 00:00:00+00:00,46,12,0,0
2026-05-02 00:00:00+00:00,49,12,0,0
2026-05-03 00:00:00+00:00,37,9,0,0
2026-05-04 00:00:00+00:00,30,9,0,0
2026-05-05 00:00:00+00:00,48,14,0,0
2026-05-06 00:00:00+00:00,38,10,0,0
2026-05-07 00:00:00+00:00,23,7,0,0
2026-05-08 00:00:00+00:00,21,9,0,0
2026-05-09 00:00:00+00:00,10,5,0,0
2026-05-10 00:00:00+00:00,8,3,0,0
2026-05-11 00:00:00+00:00,17,5,0,0
