time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-02 00:00:00+00:00,14,6,0,0
2026-04-03 00:00:00+00:00,10,6,0,0
2026-04-04 00:00:00+00:00,19,7,1,1
2026-04-05 00:00:00+00:00,40,12,0,0
2026-04-06 00:00:00+00:00,7,3,0,0
2026-04-07 00:00:00+00:00,17,6,0,0
2026-04-08 00:00:00+00:00,18,6,0,0
2026-04-09 00:00:00+00:00,8,3,0,0
2026-04-10 00:00:00+00:00,43,12,0,0
2026-04-11 00:00:00+00:00,49,15,0,0
2026-04-12 00:00:00+00:00,3,3,0,0
2026-04-13 00:00:00+00:00,12,5,0,0
2026-04-14 00:00:00+00:00,13,4,0,0
2026-04-15 00:00:00+00:00,17,8,0,0
